34,82
19,88
65,45
85,47
35,36
87,97
22,29
37,101
96,8
98,21
79,99
62,50
55,54
20,17
39,49
87,9
90,13
60,55
6,31
23,32
51,98
50,73
43,101
23,89
60,31
13,5
96,2
57,80
78,2
70,20
55,58
61,95
36,43
63,25
80,18
37,68
82,63
80,39
95,25
19,18
59,87
40,9
15,65
4,18
25,41
35,21
22,21
66,26
68,95
35,71
47,101
54,51
100,38
62,79
87,74
14,84
99,6
66,68
98,10
31,9
75,88
5,95
36,32
64,69
14,58
77,100
25,63
23,55
19,4
97,22
47,72
18,70
36,11
47,19
72,29
35,70
52,83
77,18
26,58
29,41
37,1
38,101
27,93
65,38
73,90
84,3
65,48
30,57
45,100
95,38
5,56
33,94
87,100
71,23
12,84
51,42
40,78
40,10
69,16
62,5
